Ticket #,date_time, $ ,Customer Name,job_name_clean,job code,material_clean,final_direction,Year,Truck #_clean,tax_exempt,id_truck,id_mat,material,id_cust,Trucksize
172494,2026-03-24T10:12:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV7,Y,56,11.0,Broken Concrete,93,Axle 4_5
172495,2026-03-24T10:20:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,GACE36,Y,274,11.0,Broken Concrete,93,Axle 4_5
172496,2026-03-24T10:25:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV5,Y,54,11.0,Broken Concrete,93,Axle 4_5
172497,2026-03-24T10:27:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV11,Y,49,11.0,Broken Concrete,93,Axle 4_5
172498,2026-03-24T10:29:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,10FP,Y,213,11.0,Broken Concrete,93,Axle 4_5
172499,2026-03-24T10:35:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV10,Y,48,11.0,Broken Concrete,93,Axle 4_5
172500,2026-03-24T10:35:00,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill,IN,2026,DON08,N,208,18.0,Other Clean Hard Fill,106,Axle 4_5
172501,2026-03-24T10:40:00,$165.00 ,"Miller Pipeline, LLC",Lee Rd.,Lee Rd.,other clean hard fill,IN,2026,HEL26,N,272,18.0,Other Clean Hard Fill,89,Axle 4_5
172502,2026-03-24T10:41:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV7,Y,56,11.0,Broken Concrete,93,Axle 4_5
172503,2026-03-24T10:56:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV5,Y,54,11.0,Broken Concrete,93,Axle 4_5
172504,2026-03-24T10:57:00,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill,IN,2026,MAK23,N,98,18.0,Other Clean Hard Fill,106,Axle 4_5
172505,2026-03-24T10:57:00,$75.00 ,Credit Card Sales,Credit-MS Cement,Credit-MS Cement,other clean hard fill,IN,2026,MSC1,N,275,18.0,Other Clean Hard Fill,40,Axle 1
172506,2026-03-24T10:59:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV11,Y,49,11.0,Broken Concrete,93,Axle 4_5
172507,2026-03-24T11:03:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,10FP,Y,213,11.0,Broken Concrete,93,Axle 4_5
172508,2026-03-24T11:08:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV10,Y,48,11.0,Broken Concrete,93,Axle 4_5
172509,2026-03-24T11:11:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,GACE36,Y,274,11.0,Broken Concrete,93,Axle 4_5
172510,2026-03-24T11:13:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV7,Y,56,11.0,Broken Concrete,93,Axle 4_5
172511,2026-03-24T11:20:00,$120.00 ,"North Coast Concrete, Inc.",VA Hospital - 3311 W.73rd St.,VA Hospital - 3311 W.73rd St.,other clean hard fill,IN,2026,SEITZ02,N,255,18.0,Other Clean Hard Fill,95,TriAxle
172512,2026-03-24T11:21:00,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill,IN,2026,DC36,N,40,18.0,Other Clean Hard Fill,106,Axle 4_5
172513,2026-03-24T11:26:00,$120.00 ,"North Coast Concrete, Inc.",VA Hospital - 3311 W.73rd St.,VA Hospital - 3311 W.73rd St.,other clean hard fill,IN,2026,SEITZ04,N,258,18.0,Other Clean Hard Fill,95,TriAxle
172514,2026-03-24T11:29:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV5,Y,54,11.0,Broken Concrete,93,Axle 4_5
172515,2026-03-24T11:31:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV11,Y,49,11.0,Broken Concrete,93,Axle 4_5
172516,2026-03-24T11:36:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,10FP,Y,213,11.0,Broken Concrete,93,Axle 4_5
172517,2026-03-24T11:42:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV10,Y,48,11.0,Broken Concrete,93,Axle 4_5
172518,2026-03-24T11:49:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,GACE36,Y,274,11.0,Broken Concrete,93,Axle 4_5
172519,2026-03-24T11:50:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV7,Y,56,11.0,Broken Concrete,93,Axle 4_5
172520,2026-03-24T12:02:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV5,Y,54,11.0,Broken Concrete,93,Axle 4_5
