id,ticket_number,ticket_year,ticket_sequence,direction,created_at,job_id,job_code_snapshot,job_name_snapshot,customer_snapshot,truck_id,truck_number_snapshot,material_id,material_name_snapshot,quantity,unit,notes,pdf_path,pdf_blob,tax_exempt,cost,active,modified_to_id
3883,DT-2026-001211,2026,1211,IN,2026-02-26T10:36:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,49.0,DEV11,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3884,DT-2026-001212,2026,1212,IN,2026-02-26T10:39:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,244.0,RAR835,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3885,DT-2026-001213,2026,1213,IN,2026-02-26T10:47:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,237.0,MAK21,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3886,DT-2026-001214,2026,1214,IN,2026-02-26T10:55:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,159.0,PRATT809,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3887,DT-2026-001215,2026,1215,IN,2026-02-26T11:04:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,35.0,DC28,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3888,DT-2026-001216,2026,1216,IN,2026-02-26T11:05:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,239.0,GACE26,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3889,DT-2026-001217,2026,1217,IN,2026-02-26T11:11:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,234.0,DON02,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3890,DT-2026-001218,2026,1218,OUT,2026-02-26T11:13:00,3614.0,2743,West 26th Apartments (2743),Petty Group LLC,243.0,DLP22,1.0,#1&2 Recycled Concrete,1.0,Load,,,,Y,308.0,True,
3891,DT-2026-001219,2026,1219,IN,2026-02-26T11:21:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,17.0,CS002,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3892,DT-2026-001220,2026,1220,IN,2026-02-26T11:32:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,48.0,DEV10,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3893,DT-2026-001221,2026,1221,IN,2026-02-26T11:44:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,42.0,DEL03,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3894,DT-2026-001222,2026,1222,IN,2026-02-26T11:54:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,99.0,MAL07,19.0,Rubble,1.0,Load,,,,N,165.0,True,
