Ticket #,Date,Time,Truck #,Trucksize, $ ,Customer Name,job_name_clean,job code,material_clean,final_direction,Year,date_time,Truck #_clean
170414,2026-01-05,12:15 PM,mid909,Axle 1,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T12:15:00,mid909
170415,2026-01-05,12:19 PM,mike108,TriAxle,$120.00 ,Mike Coates Construction Co.,RTA,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T12:19:00,mike108
170416,2026-01-05,12:32 PM,mid900,Axle 1,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T12:32:00,mid900
170417,2026-01-05,12:48 PM,ut33,Axle 1,$75.00 ,Utilities Construction Co.,Lee Rd.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T12:48:00,ut33
170418,2026-01-05,1:16 PM,mike108,TriAxle,$120.00 ,Mike Coates Construction Co.,RTA,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T13:16:00,mike108
170419,2026-01-05,1:16 PM,dc33,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T13:16:00,dc33
170420,2026-01-05,1:37 PM,ut33,Axle 1,$125.00 ,Utilities Construction Co.,Lee Rd.,,Broken Asphalt (or material mixed asphalt),IN,2026,2026-01-05T13:37:00,ut33
170421,2026-01-05,1:49 PM,mid904,Axle 1,$125.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,#304 Recycled Concrete,OUT,2026,2026-01-05T13:49:00,mid904
170422,2026-01-05,1:52 PM,dev10,Axle 4_5,$66.00 ,Petty Group LLC,W. 26th Apartments (2743),2743,bulk sand (pre-screened) IN,IN,2026,2026-01-05T13:52:00,dev10
170423,2026-01-05,2:20 PM,mid909,Axle 1,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T14:20:00,mid909
170424,2026-01-05,2:40 PM,mike108,TriAxle,$120.00 ,Mike Coates Construction Co.,RTA,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T14:40:00,mike108
170425,2026-01-05,2:58 PM,dev3,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T14:58:00,dev3
170426,2026-01-05,3:04 PM,dev5,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T15:04:00,dev5
170427,2026-01-05,3:04 PM,dev7,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T15:04:00,dev7
170428,2026-01-05,3:08 PM,dc33,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T15:08:00,dc33
170429,2026-01-05,3:10 PM,mid904,Axle 1,$350.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,#304 Limestone,OUT,2026,2026-01-05T15:10:00,mid904
170430,2026-01-05,3:46 PM,mid909,Axle 1,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T15:46:00,mid909
170431,2026-01-05,3:46 PM,mid909,Axle 1,$90.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,sand (screened),OUT,2026,2026-01-05T15:46:00,mid909
170432,2026-01-05,3:52 PM,dev3,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T15:52:00,dev3
170433,2026-01-05,3:56 PM,dev5,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T15:56:00,dev5
170434,2026-01-05,4:02 PM,dev7,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T16:02:00,dev7
170435,2026-01-05,4:05 PM,dev10,Axle 4_5,$66.00 ,Petty Group LLC,W. 26th Apartments (2743),2743,bulk sand (pre-screened) IN,IN,2026,2026-01-05T16:05:00,dev10
170436,2026-01-05,4:14 PM,dc33,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T16:14:00,dc33
170437,2026-01-06,8:33 AM,dev10,Axle 4_5,$66.00 ,Petty Group LLC,W. 26th Apartments (2743),2743,bulk sand (pre-screened) IN,IN,2026,2026-01-06T08:33:00,dev10
170438,2026-01-06,8:54 AM,dev5,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-06T08:54:00,dev5
170439,2026-01-06,8:54 AM,dev5,Axle 4_5,$275.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,#304 Recycled Concrete,OUT,2026,2026-01-06T08:54:00,dev5
170440,2026-01-06,9:05 AM,mid902,Axle 1,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-06T09:05:00,mid902
170441,2026-01-06,9:54 AM,dev10,Axle 4_5,$66.00 ,Petty Group LLC,W. 26th Apartments (2743),2743,bulk sand (pre-screened) IN,IN,2026,2026-01-06T09:54:00,dev10
170442,2026-01-06,9:59 AM,dev7,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-06T09:59:00,dev7
170443,2026-01-06,9:59 AM,dev7,Axle 4_5,$308.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,#1&2 Recycled Concrete,OUT,2026,2026-01-06T09:59:00,dev7
170444,2026-01-06,10:10 AM,dev5,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-06T10:10:00,dev5
170445,2026-01-06,10:12 AM,don08,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-06T10:12:00,don08
170446,2026-01-06,10:13 AM,don08,Axle 4_5,$275.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,#304 Recycled Concrete,OUT,2026,2026-01-06T10:13:00,don08
170447,2026-01-06,10:16 AM,dev3,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-06T10:16:00,dev3
170448,2026-01-06,10:16 AM,dev3,Axle 4_5,$275.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,#304 Recycled Concrete,OUT,2026,2026-01-06T10:16:00,dev3
170449,2026-01-06,10:29 AM,duhyd,Hydrovac,$500.00 ,Du-All Services,5136 N. Ridge Rd.,,Slop,IN,2026,2026-01-06T10:29:00,duhyd
170450,2026-01-06,10:30 AM,duhyd,Hydrovac,$500.00 ,Du-All Services,5136 N. Ridge Rd.,,Slop,IN,2026,2026-01-06T10:30:00,duhyd
